modul,anahtar,yer_tutucular,turkce_kaynak,ar_mevcut,ar_duzeltme,not
ayarlar,ayarlarTemaAciklama,,Koyu tema tüm ekranlarda uygulanır; sistem seçilirse cihaz ayarını izler.,تُطبَّق السمة الداكنة على جميع الشاشات؛ وخيار «النظام» يتبع إعداد الجهاز.,,
ayarlar,ayarlarTemaKoyu,,Koyu,داكن,,
ayarlar,ayarlarTemaSistem,,Sistem,النظام,,
ayarlar,ayarlarTesis,,Tesis,المنشأة,,
ayarlar,ayarlarTesisAdi,,Tesis adı,اسم المنشأة,,
ayarlar,ayarlarTesisAdiAciklama,,Ana ekranda ve raporlarda görünen ad.,الاسم الذي يظهر في الشاشة الرئيسية والتقارير.,,
ayarlar,ayarlarTesisAdiGuncellendi,,Tesis adı güncellendi,تم تحديث اسم المنشأة,,
ayarlar,ayarlarYonetim,,Yönetim,الإدارة,,
bildirim,bildirimYeniPush,,Yeni bildirim,إشعار جديد,,
bildirim,bildirimYok,,Bildirim yok,لا توجد إشعارات,,
bildirim,bildirimYuklenemedi,,"Bildirimler yüklenemedi.
{hata}","تعذّر تحميل الإشعارات.
{hata}",,
bina,binaAtlananEk,," ({n} zaten vardı, atlandı)", ({n} موجودة مسبقاً، تم تخطيها),,
bina,binaBaslangicNo,,Başlangıç no,رقم البداية,,
bina,binaBaslangicNoIpucu,,örn. 101,مثال: ١٠١,,
bina,binaBloguSil,,Bloğu sil,حذف المبنى,,
bina,binaBloguSilAlt,n,{n} daire ile birlikte silinir (onay gerekir),"{n, plural, zero{يُحذف (يلزم تأكيد)} one{يُحذف مع وحدة واحدة (يلزم تأكيد)} two{يُحذف مع وحدتين (يلزم تأكيد)} few{يُحذف مع {n} وحدات (يلزم تأكيد)} many{يُحذف مع {n} وحدة (يلزم تأكيد)} other{يُحذف مع {n} وحدة (يلزم تأكيد)}}",,
bina,binaBlokAtanmamis,,Blok atanmamış,لم يُعيَّن مبنى,,
bina,binaBlokDuzenle,,Blok düzenle,تعديل المبنى,,
bina,binaBlokDuzenleBaslik,,Blok {ad} — düzenle,المبنى {ad} — تعديل,,
bina,binaBlokEtiket,,Blok {ad},المبنى {ad},,
bina,binaBlokEtiketi,,Blok etiketi,رمز المبنى,,
bina,binaBlokEtiketiGerekli,,"Blok etiketi gerekli (örn. A, B1).",مطلوب رمز المبنى (مثال: A، B1).,,
bina,binaBlokEtiketiYardim,,"Kısa alfanumerik (örn. A, B1) — tire yok",أحرف وأرقام قصيرة (مثال: A، B1) — بدون شرطة,,
bina,binaBlokEtiketiZatenVar,,Bu blok etiketi zaten kayıtlı.,رمز المبنى هذا مسجّل بالفعل.,,
bina,binaBlokSilindi,,Blok {ad} silindi.,تم حذف المبنى {ad}.,,
bina,binaBlokSilinemedi,,Blok silinemedi: {hata},تعذّر حذف المبنى: {hata},,
bina,binaBlokSilinemediGenel,,Blok silinemedi. Lütfen tekrar deneyin.,تعذّر حذف المبنى. حاول مرة أخرى.,,
bina,binaBlokSilinsinMi,,Blok {ad} silinsin mi?,هل يُحذف المبنى {ad}؟,,
bina,binaBlokTile,,Blok,مبنى,,
bina,binaBlokVeDaireSilindi,"ad,n",Blok {ad} ve {n} daire silindi.,تم حذف المبنى {ad} و{n} وحدة.,,
bina,binaBlokYerlesimSalt,,Blok {ad} — kat ve daire yerleşimi (salt görüntüleme).,المبنى {ad} — توزيع الطوابق والوحدات (للعرض فقط).,,
bina,binaBlokYerlesimYardim,,"Blok {ad} — kat ekleyip her katın ""+"" düğmesiyle daire ekleyin. Aynı kattakiler yan yana dizilir.","المبنى {ad} — أضف طوابق ثم أضف وحدات بزر ""+"" لكل طابق. تُصفّ وحدات الطابق نفسه جنباً إلى جنب.",,
bina,binaBloksuz,,Bloksuz,بدون مبنى,,
bina,binaBloksuzDairelerSalt,,Bloğa atanmamış daireler (salt görüntüleme).,وحدات غير معيَّنة لمبنى (للعرض فقط).,,
bina,binaBloksuzUyari,,"Bu daireler bir bloğa atanmamış (eski kayıtlar). Görüntülenir, düzenlenip silinebilir; yeni daire için bir blok seçin/oluşturun.",هذه الوحدات غير معيَّنة لمبنى (سجلات قديمة). تُعرض ويمكن تعديلها أو حذفها؛ لوحدة جديدة اختر مبنى أو أنشئه.,,
bina,binaBloktaDaireYok,,Bu blokta henüz daire yok.,لا توجد وحدات في هذا المبنى بعد.,,
bina,binaDaireDuzenleBaslik,,Daire {no} — düzenle,الوحدة {no} — تعديل,,
bina,binaDaireEklendi,"n,ek",{n} daire eklendi ✓{ek},تمت إضافة {n} وحدة ✓{ek},,
bina,binaDaireNo,,Daire no,رقم الوحدة,,
bina,binaDaireNoGerekli,,"Daire no gerekli (örn. A-12, 12).",مطلوب رقم الوحدة (مثال: A-12، 12).,,
bina,binaDaireNoYardim,,"Alfanumerik + tire (örn. A-12, B3, 12)",أحرف وأرقام + شرطة (مثال: A-12، B3، 12),,
bina,binaDaireNoZatenVar,,Bu daire no zaten kayıtlı.,رقم الوحدة هذا مسجّل بالفعل.,,
bina,binaDaireSayisi,n,{n} daire,"{n, plural, zero{لا وحدات} one{وحدة واحدة} two{وحدتان} few{{n} وحدات} many{{n} وحدة} other{{n} وحدة}}",,
bina,binaDaireleriOlustur,,Daireleri oluştur,إنشاء الوحدات,,
bina,binaDuzenlemeAciklama,,"Blok ekleyin, kutucuğa dokunup içine kat ve daire yerleştirin. Her daire bir bloğa bağlanır. Şikayet Haritası bu yapıyı yansıtır.",أضف مبنى، ثم اضغط على المربّع وضع الطوابق والوحدات داخله. كل وحدة مرتبطة بمبنى. تعكس خريطة الشكاوى هذا الهيكل.,,
bina,binaDuzenlemeBaslik,,Bina Düzenleme,تخطيط المبنى,,
bina,binaEklenemedi,,Eklenemedi. Tekrar deneyin.,تعذّرت الإضافة. حاول مرة أخرى.,,
bina,binaEnFazla500,,En fazla 500 daire (şu an {n}).,٥٠٠ وحدة كحد أقصى (حالياً {n}).,,
bina,binaKaliciSilmeUyari,,"Bu blok ve içindeki {n} daire; aidat, ziyaretçi, kargo, rezervasyon ve şikayet kayıtlarıyla birlikte KALICI olarak silinecek. Bu işlem geri alınamaz.",سيُحذف هذا المبنى و{n} وحدة داخله نهائياً مع سجلات الرسوم والزوار والشحنات والحجوزات والشكاوى. لا يمكن التراجع عن هذه العملية.,,
bina,binaKat,,Kat,الطابق,,
bina,binaKatBasinaDaire,,Kat başına daire,وحدات لكل طابق,,
bina,binaKatEkle,,Kat ekle,إضافة طابق,,
bina,binaKatEtiket,,Kat {kat},الطابق {kat},,
bina,binaKatSayisi,,Kat sayısı,عدد الطوابق,,
bina,binaKatSiraTamSayi,,Kat ve sıra tam sayı olmalı.,يجب أن يكون الطابق والترتيب أعداداً صحيحة.,,
bina,binaKatYardim,,0 = zemin,٠ = الطابق الأرضي,,
bina,binaKatYok,,Kat yok,بدون طابق,,
bina,binaKatYokBos,,"Henüz kat yok. ""Kat ekle"" ile başlayın, sonra kattaki ""+"" ile daire ekleyin.","لا توجد طوابق بعد. ابدأ بـ ""إضافة طابق""، ثم أضف وحدات بـ ""+"" في الطابق.",,
bina,binaKaydedilemedi,,Kaydedilemedi. Lütfen tekrar deneyin.,تعذّر الحفظ. حاول مرة أخرى.,,
bina,binaKayitsiz,,kayıtsız,غير مسجّل,,
bina,binaOnayIcinBlokAdi,,Onaylamak için blok adını yazın,اكتب اسم المبنى للتأكيد,,
bina,binaSaltGoruntulemeAciklama,,Bina yapısı (salt görüntüleme). Blok kutucuğuna dokunup kat ve daire yerleşimini görebilirsiniz.,هيكل المبنى (للعرض فقط). اضغط على مربّع المبنى لرؤية توزيع الطوابق والوحدات.,,
bina,binaSilNDaire,,Sil ({n} daire),حذف ({n} وحدة),,
bina,binaSilinemedi,,Silinemedi. Lütfen tekrar deneyin.,تعذّر الحذف. حاول مرة أخرى.,,
bina,binaSira,,Sıra,الترتيب,,
bina,binaSiraYardim,,Kattaki konum,الموضع في الطابق,,
bina,binaTekSeferde500,,Tek seferde en fazla 500 daire.,٥٠٠ وحدة كحد أقصى في المرة.,,
bina,binaTopluAciklama,,"Numaralar başlangıçtan itibaren ardışık, kat kat dolar. Var olanlar atlanır.",تتسلسل الأرقام من البداية وتُملأ طابقاً بطابق. تُتخطّى الأرقام الموجودة.,,
bina,binaTopluAlanlarGerekli,,"Kat sayısı, kat başına daire ve başlangıç no gerekli.",مطلوب عدد الطوابق وعدد الوحدات لكل طابق ورقم البداية.,,
bina,binaTopluBaslik,,Toplu daire ekle — Blok {blok},إضافة وحدات بالجملة — المبنى {blok},,
bina,binaTopluBaslikBloksuz,,Toplu daire ekle — Bloksuz,إضافة وحدات بالجملة — بدون مبنى,,
bina,binaTopluDaireEkle,,Toplu daire ekle,إضافة وحدات بالجملة,,
bina,binaTopluOnizleme,"bas,bitis,toplam,kat,adet","{bas} … {bitis}  ({toplam} daire, {kat} kat × {adet})",{bas} … {bitis}  ({toplam} وحدة، {kat} طابق × {adet}),,
bina,binaYeniBlok,,Yeni blok,مبنى جديد,,
bina,binaYeniDaire,,Yeni daire · {blok},وحدة جديدة · {blok},,
bolum,bolumDuyurular,,Duyurular,الإعلانات,,
bolum,bolumEtkinlikler,,Etkinlikler,الأنشطة,,
bolum,bolumHizliOzet,,Hızlı Özet,ملخص سريع,,
bolum,bolumOdemeAidat,,Ödeme ve Aidat Durumu,المدفوعات والرسوم,,
bolum,bolumSiteKurallari,,Site Kuralları,قواعد المجمع,,
bolum,bolumSonHareketler,,Son Hareketler,آخر الأنشطة,,
bolum,bolumTumModuller,,Tüm Modüller,جميع الوحدات,,
bolum,bolumVardiyaDurumu,,Vardiya Durumu,حالة الورديات,,
but,butAdZorunlu,,Ad zorunludur,الاسم مطلوب,,
but,butAidatTahsilati,,Aidat tahsilatı,تحصيل الرسوم,,
but,butBaslik,,Bütçe,الميزانية,,
but,butBeklenmeyenKisa,,Beklenmeyen bir hata oluştu. Tekrar deneyin.,حدث خطأ غير متوقع. حاول مرة أخرى.,,
but,butDonem,,Dönem,الفترة,,
but,butEnYuksekGiderler,,En yüksek giderler,أكبر المصروفات,,
but,butFinansalOzet,,Finansal özet,الملخص المالي,,
but,butGeciken,,Geciken,متأخر,,
but,butGelir,,Gelir,الإيرادات,,
but,butGider,,Gider,المصروفات,,
but,butHareketYok,,Henüz hareket yok.,لا توجد حركات بعد.,,
but,butKasa,,Kasa,الرصيد,,
but,butKategori,,Kategori,الفئة,,
but,butKategoriAdi,,Kategori adı,اسم الفئة,,
but,butKategoriAdiIpucu,,örn. Bahçe bakımı,مثال: صيانة الحديقة,,
but,butKategoriKirilimi,,Kategori kırılımı,التوزيع حسب الفئة,,
but,butKategoriSecin,,Kategori seçin,اختر فئة,,
but,butKategoriTip,"ad,tip",{ad} ({tip}),{ad} ({tip}),,
but,butKategoriToplamlari,,Kategori toplamları,مجاميع الفئات,,
but,butKategoriYok,,Henüz kategori yok.,لا توجد فئات بعد.,,
but,butOtomatik,,Otomatik,تلقائي,,
but,butPasifEki,, · pasif (yeni kayıt kapalı), · غير نشط (لا قيود جديدة),,
but,butSeffaflikNotu,,Bu ekran site yönetiminin gelir ve giderlerini şeffaflık amacıyla özet olarak gösterir. Kişi ve daire bazlı detaylar görüntülenmez; sorularınız için yönetiminize başvurun.,تعرض هذه الشاشة إيرادات ومصروفات إدارة الموقع كملخص بهدف الشفافية. لا تُعرض التفاصيل على مستوى الأشخاص والوحدات؛ راجع الإدارة لأي أسئلة.,,
but,butSekmeHareketler,,Hareketler,الحركات,,
but,butSekmeKategoriler,,Kategoriler,الفئات,,
but,butSekmeOzet,,Özet,الملخص,,
but,butSiteBaslik,,Site Bütçesi,ميزانية الموقع,,
but,butTahakkuk,,Tahakkuk,المستحق,,
but,butTahakkukYok,,Bu dönem için tahakkuk kaydı yok.,لا توجد استحقاقات مسجّلة لهذه الفترة.,,
but,butTahsilat,,Tahsilat,المُحصّل,,
but,butTahsilatYuzde,,Tahsilat %{yuzde},التحصيل {yuzde}٪,,
but,butTarih,,Tarih: {tarih},التاريخ: {tarih},,
but,butTumZamanlar,,Tüm zamanlar,كل الأوقات,,
but,butTutar,,Tutar (TL),المبلغ (ليرة),,
but,butTutarGecersiz,,"Geçerli bir tutar girin (örn. 1.250,50)","أدخل مبلغاً صحيحاً (مثال: 1.250,50)",,
but,butTutarIpucu,,"örn. 1.250,50","مثال: 1.250,50",,
but,butYeniHareket,,Yeni hareket,حركة جديدة,,
but,butYeniKategori,,Yeni kategori,فئة جديدة,,
ceviri,ceviriCeviriyiGor,,Çeviriyi gör,عرض الترجمة,,
ceviri,ceviriHazirlaniyor,,Çeviri hazırlanıyor — orijinal gösteriliyor,جارٍ إعداد الترجمة — يتم عرض النص الأصلي,,
ceviri,ceviriHazirlaniyorKisa,,Çeviri hazırlanıyor,جارٍ الترجمة,,
ceviri,ceviriOrijinaliGor,,Orijinali gör,عرض النص الأصلي,,
ceviri,ceviriOtomatik,,Bu içerik otomatik çevrilmiştir,تمت ترجمة هذا المحتوى تلقائيًا,,
ceviri,ceviriOtomatikKisa,,Otomatik çeviri,ترجمة تلقائية,,
ceviri,ceviriYapilamadi,,Çeviri yapılamadı — orijinal gösteriliyor,تعذّرت الترجمة — يتم عرض النص الأصلي,,
ceviri,ceviriYapilamadiKisa,,Çeviri yapılamadı,تعذّرت الترجمة,,
cip,cipAktif,,Aktif,نشطة,,
cip,cipYeni,,Yeni,جديد,,
dem,demAldi,"ad,zaman",{ad} aldı — {zaman} (hala üzerinde),أخذه {ad} — {zaman} (لا يزال بحوزته),,
dem,demAldiBirakti,"ad,alma,birakma",{ad} · {alma} → {birakma},{ad} · {alma} → {birakma},,
dem,demAldin,"zaman,sure",Aldın: {zaman} ({sure}),أُخذ: {zaman} ({sure}),,
dem,demBakimda,,Bakımda — şu an zimmetlenemez.,تحت الصيانة — لا يمكن تسليمه الآن.,,
dem,demBaskaEtiketOkut,,Başka etiket okut,امسح وسماً آخر,,
dem,demBaskasinda,"ad,sure",Başkasında: {ad} — {sure} üzerinde.,بحوزة {ad} — {sure}.,,
dem,demBaskasininUzerinde,,Başkasının üzerinde görünüyor.,يبدو أنه بحوزة شخص آخر.,,
dem,demBaslik,,Demirbaş,الأصول,,
dem,demBirak,,Bırak / iade et,إعادة,,
dem,demBirakKisa,,Bırak,إعادة,,
dem,demBirakildi,,Bırakıldı ✓ — zimmet kapatıldı.,تمت الإعادة ✓ — أُغلق التسليم.,,
dem,demEtiketEslesmiyor,,Bu etiket ({uid}) kayıtlı bir demirbaşla eşleşmiyor. Etiket panelden bir demirbaşa tanımlanmalı.,هذا الوسم ({uid}) لا يطابق أي أصل مسجّل. يجب ربط الوسم بأصل من اللوحة.,,
dem,demEtiketOkut,,Etiket okut,امسح الوسم,,
dem,demHataSatiri,"ad,hata",{ad}: {hata},{ad}: {hata},,
dem,demIslemYapilamadi,,İşlem yapılamadı: {hata} Durum güncellendi — karta tekrar bakın.,تعذّر تنفيذ العملية: {hata} تم تحديث الحالة — راجع البطاقة.,,
dem,demKimsedeDegil,,Kimsede değil — alınabilir.,ليس بحوزة أحد — متاح.,,
dem,demListeYetkiYok,,Demirbaş listesi için yetkiniz yok.,ليست لديك صلاحية لقائمة الأصول.,,
dem,demNfcAciklama,,Demirbaşı alırken veya bırakırken üzerindeki NFC etiketini okutun. Uygulama demirbaşı tanır ve kimde olduğunu gösterir.,امسح وسم NFC الموجود على الأصل عند أخذه أو إعادته. يتعرّف التطبيق على الأصل ويُظهر من يحوزه.,,
dem,demOfflineUyari,,İnternet bağlantısı gerekli. Zimmet kimde-olduğu ANLIK bir kayıttır; offline işlem yapılmaz (kuyruklamak yanıltıcı olurdu).,يلزم اتصال بالإنترنت. حيازة الأصل سجل فوري؛ ولا تُعالج دون اتصال (الانتظار في قائمة سيكون مضلّلاً).,,
dem,demSende,,SENDE — {sure} üzerinde.,بحوزتك — {sure}.,,
dem,demSonHareketler,,Son hareketler,الحركات الأخيرة,,
dem,demSureAzOnce,,"az önce alındı, o zamandan beri",قبل لحظات,,
dem,demSureBelirsiz,,bir süredir,منذ فترة,,
dem,demSureDakika,n,{n} dakikadır,"{n, plural, zero{منذ {n} دقيقة} one{منذ دقيقة} two{منذ دقيقتين} few{منذ {n} دقائق} many{منذ {n} دقيقة} other{منذ {n} دقيقة}}",,
dem,demSureGun,n,{n} gündür,"{n, plural, zero{منذ {n} يوم} one{منذ يوم} two{منذ يومين} few{منذ {n} أيام} many{منذ {n} يوماً} other{منذ {n} يوم}}",,
dem,demSureSaat,n,{n} saattir,"{n, plural, zero{منذ {n} ساعة} one{منذ ساعة} two{منذ ساعتين} few{منذ {n} ساعات} many{منذ {n} ساعة} other{منذ {n} ساعة}}",,
dem,demTaniniyor,,Demirbaş tanınıyor...,جارٍ التعرّف على الأصل...,,
dem,demUzerimdekiler,,Üzerimdekiler{ek},ما بحوزتي{ek},,
dem,demUzerindeYok,,Şu an üzerinde demirbaş görünmüyor.,لا توجد أصول بحوزتك حالياً.,,
dem,demZatenZimmetinde,,Zaten zimmetindeydi ✓ (tekrar gönderim — çift kayıt yok),كان بحوزتك بالفعل ✓ (إعادة إرسال — بلا تكرار),,
dem,demZimmetineAl,,Zimmetine al,استلام,,
dem,demZimmetineAlindi,,Zimmetine alındı ✓,تم الاستلام ✓,,
dem,demZorlaDevralmaYok,,Zorla devralma yok — demirbaşı şu anki kullanıcısı bırakmalı.,لا استيلاء قسري — يجب أن يعيده حائزه الحالي.,,
destek,destekBaslik,,Destek,الدعم,,
destek,destekEkip,,Yönetio Ekibi,فريق Yönetio,,
destek,destekGonderilemedi,,Talep gönderilemedi: {hata},تعذّر إرسال الطلب: {hata},,
destek,destekGorselEkle,,Görsel ekle,أضف صورة,,
destek,destekGorseliDegistir,,Görseli değiştir,تغيير الصورة,,
destek,destekKonu,,Konu,الموضوع,,
destek,destekTalepYok,,Henüz destek talebiniz yok,لا توجد لديك طلبات دعم بعد,,
destek,destekYeniTalep,,Yeni Talep,طلب جديد,,
destek,destekYeniTalepBaslik,,Yeni Destek Talebi,طلب دعم جديد,,
destek,destekYuklenemedi,,"Talepler yüklenemedi.
{hata}","تعذّر تحميل الطلبات.
{hata}",,
devriye,devriyeAdZorunlu,,Ad zorunludur,الاسم مطلوب,,
devriye,devriyeAktifNoktaYok,,"Aktif kontrol noktası yok. Önce ""Kontrol noktaları""ndan ekleyin.","لا توجد نقاط تفتيش نشطة. أضف واحدة من ""نقاط التفتيش"" أولاً.",,
devriye,devriyeBaslangicSaat,,Başlangıç {saat},البداية {saat},,
devriye,devriyeBitisEtiket,,bitiş {saat},الانتهاء {saat},,
devriye,devriyeBitisSaat,,Bitiş {saat},النهاية {saat},,
devriye,devriyeBugunPencereYok,,Bugün için planlanmış devriye penceresi yok.,لا توجد نافذة دورية مجدولة لهذا اليوم.,,
devriye,devriyeBugunTurYok,,Bugün için devriye turu yok.,لا توجد دورية لهذا اليوم.,,
devriye,devriyeBugununDigerTurlari,,Bugünün diğer turları,دوريات اليوم الأخرى,,
