modul,anahtar,yer_tutucular,turkce_kaynak,ru_mevcut,ru_duzeltme,not
ana,anaOdendi,,Ödendi,Оплачено,,
ana,anaOdenmedi,,Ödenmedi,Не оплачено,,
ana,anaOnline,,Online,На связи,,
ana,anaRaporlarYakinda,,Raporlar yakında,Отчёты скоро,,
ana,anaSelam,,"Merhaba, {ad}","Здравствуйте, {ad}",,
ana,anaSonOdemeTarih,,Son Ödeme: {tarih},Последний платёж: {tarih},,
ana,anaVardiyaAktif,,Aktif,Активна,,
ana,anaVardiyaPlanlandi,,Planlandı,Запланирована,,
ana,anaYoneticiPaneli,,Yönetici Paneli,Панель управляющего,,
arac,aracAramaBos,,Bu plakayla eşleşen geçiş yok,Нет проездов с таким номером,,
arac,aracCikisOnayBaslik,,Çıkış verilsin mi?,Отметить выезд автомобиля?,,
arac,aracCikisVer,,Çıkış ver,Отметить выезд,,
arac,aracCikisVerildi,,Çıkış kaydedildi,Выезд записан,,
arac,aracCikisZamani,zaman,Çıkış: {zaman},Выезд: {zaman},,
arac,aracDaire,no,Daire {no},Квартира {no},,
arac,aracDaireAlani,,Daire no (isteğe bağlı),Номер квартиры (необязательно),,
arac,aracErisimYok,,Araç geçiş listesi yalnız yönetim ve güvenlik içindir,Список проездов доступен только администрации и охране,,
arac,aracGirisKaydedildi,,Araç girişi kaydedildi,Въезд автомобиля записан,,
arac,aracGirisZamani,zaman,Giriş: {zaman},Въезд: {zaman},,
arac,aracKaydeden,ad,Kaydeden: {ad},Записал: {ad},,
arac,aracListeBos,,Kayıtlı araç geçişi yok,Нет записей о проездах,,
arac,aracPlaka,,Plaka,Номер,,
arac,aracPlakaAra,,Plaka ara,Поиск по номеру,,
arac,aracPlakaZorunlu,,Plaka zorunlu,Номер обязателен,,
arac,aracRozetCikti,,Çıktı,Выехал,,
arac,aracRozetIceride,,İçeride,Внутри,,
arac,aracRozetZiyaretci,,Ziyaretçi,Гость,,
arac,aracSuzgecCikmis,,Çıkmış,Выехали,,
arac,aracSuzgecIceride,,İçeride,Внутри,,
arac,aracSuzgecTumu,,Tümü,Все,,
arac,aracTanimAlani,,Araç tanımı (isteğe bağlı),Описание автомобиля (необязательно),,
arac,aracYeniGiris,,Yeni giriş,Новый въезд,,
arac,aracZatenIceride,,Bu plakanın açık geçişi zaten var (araç içeride),У этого номера уже есть открытый проезд (автомобиль внутри),,
arac,aracZatenKapali,,Bu geçiş zaten kapatılmış,Этот проезд уже закрыт,,
arac,aracZiyaretciMi,,Ziyaretçi aracı,Автомобиль гостя,,
arama,aramaBaslatilamadi,,Arama başlatılamadı,Не удалось начать звонок,,
arama,aramaYapilamiyor,,Aranamıyor,Звонок недоступен,,
ayarlar,ayarlarBaslik,,Ayarlar,Настройки,,
ayarlar,ayarlarDil,,Dil / Language,Язык / Language,,
ayarlar,ayarlarGorunum,,Görünüm,Оформление,,
ayarlar,ayarlarKameralar,,Kameralar,Камеры,,
ayarlar,ayarlarKameralarAlt,,"Kamera ekle, düzenle, sil","Добавление, изменение и удаление камер",,
ayarlar,ayarlarTema,,Tema,Тема,,
ayarlar,ayarlarTemaAcik,,Açık,Светлая,,
ayarlar,ayarlarTemaAciklama,,Koyu tema tüm ekranlarda uygulanır; sistem seçilirse cihaz ayarını izler.,Тёмная тема применяется ко всем экранам; «Системная» следует настройке устройства.,,
ayarlar,ayarlarTemaKoyu,,Koyu,Тёмная,,
ayarlar,ayarlarTemaSistem,,Sistem,Системная,,
ayarlar,ayarlarTesis,,Tesis,Объект,,
ayarlar,ayarlarTesisAdi,,Tesis adı,Название объекта,,
ayarlar,ayarlarTesisAdiAciklama,,Ana ekranda ve raporlarda görünen ad.,"Название, отображаемое на главном экране и в отчётах.",,
ayarlar,ayarlarTesisAdiGuncellendi,,Tesis adı güncellendi,Название объекта обновлено,,
ayarlar,ayarlarYonetim,,Yönetim,Управление,,
bildirim,bildirimYeniPush,,Yeni bildirim,Новое уведомление,,
bildirim,bildirimYok,,Bildirim yok,Уведомлений нет,,
bildirim,bildirimYuklenemedi,,"Bildirimler yüklenemedi.
{hata}","Не удалось загрузить уведомления.
{hata}",,
bina,binaAtlananEk,," ({n} zaten vardı, atlandı)"," ({n} уже были, пропущены)",,
bina,binaBaslangicNo,,Başlangıç no,Начальный номер,,
bina,binaBaslangicNoIpucu,,örn. 101,напр. 101,,
bina,binaBloguSil,,Bloğu sil,Удалить блок,,
bina,binaBloguSilAlt,n,{n} daire ile birlikte silinir (onay gerekir),"{n, plural, one{Удаляется вместе с {n} квартирой (нужно подтверждение)} few{Удаляется вместе с {n} квартирами (нужно подтверждение)} many{Удаляется вместе с {n} квартирами (нужно подтверждение)} other{Удаляется вместе с {n} квартирами (нужно подтверждение)}}",,
bina,binaBlokAtanmamis,,Blok atanmamış,Блок не назначен,,
bina,binaBlokDuzenle,,Blok düzenle,Изменить блок,,
bina,binaBlokDuzenleBaslik,,Blok {ad} — düzenle,Блок {ad} — изменить,,
bina,binaBlokEtiket,,Blok {ad},Блок {ad},,
bina,binaBlokEtiketi,,Blok etiketi,Метка блока,,
bina,binaBlokEtiketiGerekli,,"Blok etiketi gerekli (örn. A, B1).","Требуется метка блока (напр. A, B1).",,
bina,binaBlokEtiketiYardim,,"Kısa alfanumerik (örn. A, B1) — tire yok","Короткий буквенно-цифровой код (напр. A, B1) — без дефиса",,
bina,binaBlokEtiketiZatenVar,,Bu blok etiketi zaten kayıtlı.,Такая метка блока уже существует.,,
bina,binaBlokSilindi,,Blok {ad} silindi.,Блок {ad} удалён.,,
bina,binaBlokSilinemedi,,Blok silinemedi: {hata},Не удалось удалить блок: {hata},,
bina,binaBlokSilinemediGenel,,Blok silinemedi. Lütfen tekrar deneyin.,Не удалось удалить блок. Попробуйте снова.,,
bina,binaBlokSilinsinMi,,Blok {ad} silinsin mi?,Удалить блок {ad}?,,
bina,binaBlokTile,,Blok,Блок,,
bina,binaBlokVeDaireSilindi,"ad,n",Blok {ad} ve {n} daire silindi.,Блок {ad} и квартиры ({n}) удалены.,,
bina,binaBlokYerlesimSalt,,Blok {ad} — kat ve daire yerleşimi (salt görüntüleme).,Блок {ad} — размещение этажей и квартир (только просмотр).,,
bina,binaBlokYerlesimYardim,,"Blok {ad} — kat ekleyip her katın ""+"" düğmesiyle daire ekleyin. Aynı kattakiler yan yana dizilir.","Блок {ad} — добавьте этажи, затем добавляйте квартиры кнопкой ""+"" каждого этажа. Квартиры одного этажа выстраиваются в ряд.",,
bina,binaBloksuz,,Bloksuz,Без блока,,
bina,binaBloksuzDairelerSalt,,Bloğa atanmamış daireler (salt görüntüleme).,Квартиры без блока (только просмотр).,,
bina,binaBloksuzUyari,,"Bu daireler bir bloğa atanmamış (eski kayıtlar). Görüntülenir, düzenlenip silinebilir; yeni daire için bir blok seçin/oluşturun.","Эти квартиры не привязаны к блоку (старые записи). Они отображаются, их можно изменить или удалить; для новой квартиры выберите или создайте блок.",,
bina,binaBloktaDaireYok,,Bu blokta henüz daire yok.,В этом блоке пока нет квартир.,,
bina,binaDaireDuzenleBaslik,,Daire {no} — düzenle,Квартира {no} — изменить,,
bina,binaDaireEklendi,"n,ek",{n} daire eklendi ✓{ek},Добавлено квартир: {n} ✓{ek},,
bina,binaDaireNo,,Daire no,Номер квартиры,,
bina,binaDaireNoGerekli,,"Daire no gerekli (örn. A-12, 12).","Требуется номер квартиры (напр. A-12, 12).",,
bina,binaDaireNoYardim,,"Alfanumerik + tire (örn. A-12, B3, 12)","Буквы/цифры + дефис (напр. A-12, B3, 12)",,
bina,binaDaireNoZatenVar,,Bu daire no zaten kayıtlı.,Такой номер квартиры уже существует.,,
bina,binaDaireSayisi,n,{n} daire,"{n, plural, one{{n} квартира} few{{n} квартиры} many{{n} квартир} other{{n} квартир}}",,
bina,binaDaireleriOlustur,,Daireleri oluştur,Создать квартиры,,
bina,binaDuzenlemeAciklama,,"Blok ekleyin, kutucuğa dokunup içine kat ve daire yerleştirin. Her daire bir bloğa bağlanır. Şikayet Haritası bu yapıyı yansıtır.","Добавьте блок, нажмите на плитку и разместите внутри этажи и квартиры. Каждая квартира принадлежит блоку. Карта жалоб отражает эту структуру.",,
bina,binaDuzenlemeBaslik,,Bina Düzenleme,Планировка здания,,
bina,binaEklenemedi,,Eklenemedi. Tekrar deneyin.,Не удалось добавить. Попробуйте снова.,,
bina,binaEnFazla500,,En fazla 500 daire (şu an {n}).,Не более 500 квартир (сейчас {n}).,,
bina,binaKaliciSilmeUyari,,"Bu blok ve içindeki {n} daire; aidat, ziyaretçi, kargo, rezervasyon ve şikayet kayıtlarıyla birlikte KALICI olarak silinecek. Bu işlem geri alınamaz.","Этот блок и {n} квартир в нём будут УДАЛЕНЫ БЕЗВОЗВРАТНО вместе с записями взносов, посетителей, посылок, бронирований и жалоб. Отменить это нельзя.",,
bina,binaKat,,Kat,Этаж,,
bina,binaKatBasinaDaire,,Kat başına daire,Квартир на этаж,,
bina,binaKatEkle,,Kat ekle,Добавить этаж,,
bina,binaKatEtiket,,Kat {kat},Этаж {kat},,
bina,binaKatSayisi,,Kat sayısı,Число этажей,,
bina,binaKatSiraTamSayi,,Kat ve sıra tam sayı olmalı.,Этаж и позиция должны быть целыми числами.,,
bina,binaKatYardim,,0 = zemin,0 = первый этаж,,
bina,binaKatYok,,Kat yok,Без этажа,,
bina,binaKatYokBos,,"Henüz kat yok. ""Kat ekle"" ile başlayın, sonra kattaki ""+"" ile daire ekleyin.","Этажей пока нет. Начните с «Добавить этаж», затем добавляйте квартиры кнопкой «+» на этаже.",,
bina,binaKaydedilemedi,,Kaydedilemedi. Lütfen tekrar deneyin.,Не удалось сохранить. Попробуйте снова.,,
bina,binaKayitsiz,,kayıtsız,не зарегистрировано,,
bina,binaOnayIcinBlokAdi,,Onaylamak için blok adını yazın,Введите название блока для подтверждения,,
bina,binaSaltGoruntulemeAciklama,,Bina yapısı (salt görüntüleme). Blok kutucuğuna dokunup kat ve daire yerleşimini görebilirsiniz.,"Структура здания (только просмотр). Нажмите на плитку блока, чтобы увидеть размещение этажей и квартир.",,
bina,binaSilNDaire,,Sil ({n} daire),Удалить ({n} кв.),,
bina,binaSilinemedi,,Silinemedi. Lütfen tekrar deneyin.,Не удалось удалить. Попробуйте снова.,,
bina,binaSira,,Sıra,Позиция,,
bina,binaSiraYardim,,Kattaki konum,Место на этаже,,
bina,binaTekSeferde500,,Tek seferde en fazla 500 daire.,Не более 500 квартир за один раз.,,
bina,binaTopluAciklama,,"Numaralar başlangıçtan itibaren ardışık, kat kat dolar. Var olanlar atlanır.","Номера идут последовательно от начального, заполняя этаж за этажом. Существующие пропускаются.",,
bina,binaTopluAlanlarGerekli,,"Kat sayısı, kat başına daire ve başlangıç no gerekli.","Требуются число этажей, квартир на этаж и начальный номер.",,
bina,binaTopluBaslik,,Toplu daire ekle — Blok {blok},Массовое добавление — Блок {blok},,
bina,binaTopluBaslikBloksuz,,Toplu daire ekle — Bloksuz,Массовое добавление — без блока,,
bina,binaTopluDaireEkle,,Toplu daire ekle,Массовое добавление квартир,,
bina,binaTopluOnizleme,"bas,bitis,toplam,kat,adet","{bas} … {bitis}  ({toplam} daire, {kat} kat × {adet})","{bas} … {bitis}  ({toplam} кв., {kat} этаж × {adet})",,
bina,binaYeniBlok,,Yeni blok,Новый блок,,
bina,binaYeniDaire,,Yeni daire · {blok},Новая квартира · {blok},,
bolum,bolumDuyurular,,Duyurular,Объявления,,
bolum,bolumEtkinlikler,,Etkinlikler,Мероприятия,,
bolum,bolumHizliOzet,,Hızlı Özet,Сводка,,
bolum,bolumOdemeAidat,,Ödeme ve Aidat Durumu,Платежи и взносы,,
bolum,bolumSiteKurallari,,Site Kuralları,Правила комплекса,,
bolum,bolumSonHareketler,,Son Hareketler,Последние события,,
bolum,bolumTumModuller,,Tüm Modüller,Все разделы,,
bolum,bolumVardiyaDurumu,,Vardiya Durumu,Смены,,
but,butAdZorunlu,,Ad zorunludur,Название обязательно,,
but,butAidatTahsilati,,Aidat tahsilatı,Сбор взносов,,
but,butBaslik,,Bütçe,Бюджет,,
but,butBeklenmeyenKisa,,Beklenmeyen bir hata oluştu. Tekrar deneyin.,Произошла непредвиденная ошибка. Попробуйте снова.,,
but,butDonem,,Dönem,Период,,
but,butEnYuksekGiderler,,En yüksek giderler,Крупнейшие расходы,,
but,butFinansalOzet,,Finansal özet,Финансовая сводка,,
but,butGeciken,,Geciken,Просрочено,,
but,butGelir,,Gelir,Доходы,,
but,butGider,,Gider,Расходы,,
but,butHareketYok,,Henüz hareket yok.,Операций пока нет.,,
but,butKasa,,Kasa,Касса,,
but,butKategori,,Kategori,Категория,,
but,butKategoriAdi,,Kategori adı,Название категории,,
but,butKategoriAdiIpucu,,örn. Bahçe bakımı,напр. Уход за садом,,
but,butKategoriKirilimi,,Kategori kırılımı,Разбивка по категориям,,
but,butKategoriSecin,,Kategori seçin,Выберите категорию,,
but,butKategoriTip,"ad,tip",{ad} ({tip}),{ad} ({tip}),,
but,butKategoriToplamlari,,Kategori toplamları,Итоги по категориям,,
but,butKategoriYok,,Henüz kategori yok.,Категорий пока нет.,,
but,butOtomatik,,Otomatik,Автоматически,,
but,butPasifEki,, · pasif (yeni kayıt kapalı), · неактивна (новые записи закрыты),,
but,butSeffaflikNotu,,Bu ekran site yönetiminin gelir ve giderlerini şeffaflık amacıyla özet olarak gösterir. Kişi ve daire bazlı detaylar görüntülenmez; sorularınız için yönetiminize başvurun.,Этот экран показывает доходы и расходы управления объектом в виде сводки — для прозрачности. Данные по людям и квартирам не показываются; с вопросами обращайтесь к управлению.,,
but,butSekmeHareketler,,Hareketler,Операции,,
but,butSekmeKategoriler,,Kategoriler,Категории,,
but,butSekmeOzet,,Özet,Сводка,,
but,butSiteBaslik,,Site Bütçesi,Бюджет объекта,,
but,butTahakkuk,,Tahakkuk,Начислено,,
but,butTahakkukYok,,Bu dönem için tahakkuk kaydı yok.,За этот период начислений нет.,,
but,butTahsilat,,Tahsilat,Собрано,,
but,butTahsilatYuzde,,Tahsilat %{yuzde},Сбор {yuzde}%,,
but,butTarih,,Tarih: {tarih},Дата: {tarih},,
but,butTumZamanlar,,Tüm zamanlar,За всё время,,
but,butTutar,,Tutar (TL),Сумма (TL),,
but,butTutarGecersiz,,"Geçerli bir tutar girin (örn. 1.250,50)","Введите корректную сумму (напр. 1.250,50)",,
but,butTutarIpucu,,"örn. 1.250,50","напр. 1.250,50",,
but,butYeniHareket,,Yeni hareket,Новая операция,,
but,butYeniKategori,,Yeni kategori,Новая категория,,
ceviri,ceviriCeviriyiGor,,Çeviriyi gör,Показать перевод,,
ceviri,ceviriHazirlaniyor,,Çeviri hazırlanıyor — orijinal gösteriliyor,Перевод готовится — показан оригинал,,
ceviri,ceviriHazirlaniyorKisa,,Çeviri hazırlanıyor,Перевод готовится,,
ceviri,ceviriOrijinaliGor,,Orijinali gör,Показать оригинал,,
ceviri,ceviriOtomatik,,Bu içerik otomatik çevrilmiştir,Этот текст переведён автоматически,,
ceviri,ceviriOtomatikKisa,,Otomatik çeviri,Автоперевод,,
ceviri,ceviriYapilamadi,,Çeviri yapılamadı — orijinal gösteriliyor,Не удалось перевести — показан оригинал,,
ceviri,ceviriYapilamadiKisa,,Çeviri yapılamadı,Ошибка перевода,,
cip,cipAktif,,Aktif,Активна,,
cip,cipYeni,,Yeni,Новое,,
dem,demAldi,"ad,zaman",{ad} aldı — {zaman} (hala üzerinde),{ad} взял — {zaman} (всё ещё у него),,
dem,demAldiBirakti,"ad,alma,birakma",{ad} · {alma} → {birakma},{ad} · {alma} → {birakma},,
dem,demAldin,"zaman,sure",Aldın: {zaman} ({sure}),Взято: {zaman} ({sure}),,
dem,demBakimda,,Bakımda — şu an zimmetlenemez.,На обслуживании — сейчас выдать нельзя.,,
dem,demBaskaEtiketOkut,,Başka etiket okut,Считать другую метку,,
dem,demBaskasinda,"ad,sure",Başkasında: {ad} — {sure} üzerinde.,У другого: {ad} — {sure}.,,
dem,demBaskasininUzerinde,,Başkasının üzerinde görünüyor.,"Похоже, он у другого сотрудника.",,
dem,demBaslik,,Demirbaş,Инвентарь,,
dem,demBirak,,Bırak / iade et,Вернуть,,
dem,demBirakKisa,,Bırak,Вернуть,,
dem,demBirakildi,,Bırakıldı ✓ — zimmet kapatıldı.,Возвращено ✓ — запись закрыта.,,
dem,demEtiketEslesmiyor,,Bu etiket ({uid}) kayıtlı bir demirbaşla eşleşmiyor. Etiket panelden bir demirbaşa tanımlanmalı.,Эта метка ({uid}) не соответствует зарегистрированному предмету. Метку нужно привязать к предмету в панели.,,
dem,demEtiketOkut,,Etiket okut,Считать метку,,
dem,demHataSatiri,"ad,hata",{ad}: {hata},{ad}: {hata},,
dem,demIslemYapilamadi,,İşlem yapılamadı: {hata} Durum güncellendi — karta tekrar bakın.,Не удалось выполнить: {hata} Статус обновлён — посмотрите карточку снова.,,
dem,demKimsedeDegil,,Kimsede değil — alınabilir.,Ни у кого — можно взять.,,
dem,demListeYetkiYok,,Demirbaş listesi için yetkiniz yok.,У вас нет прав на список инвентаря.,,
dem,demNfcAciklama,,Demirbaşı alırken veya bırakırken üzerindeki NFC etiketini okutun. Uygulama demirbaşı tanır ve kimde olduğunu gösterir.,"Сканируйте NFC-метку на предмете при получении или возврате. Приложение опознает предмет и покажет, у кого он.",,
dem,demOfflineUyari,,İnternet bağlantısı gerekli. Zimmet kimde-olduğu ANLIK bir kayıttır; offline işlem yapılmaz (kuyruklamak yanıltıcı olurdu).,Требуется интернет-соединение. Владение предметом — запись в реальном времени; офлайн не обрабатывается (очередь была бы обманчивой).,,
dem,demSende,,SENDE — {sure} üzerinde.,У ВАС — {sure}.,,
dem,demSonHareketler,,Son hareketler,Последние операции,,
dem,demSureAzOnce,,"az önce alındı, o zamandan beri",только что,,
dem,demSureBelirsiz,,bir süredir,уже некоторое время,,
dem,demSureDakika,n,{n} dakikadır,"{n, plural, one{{n} минуту} few{{n} минуты} many{{n} минут} other{{n} минут}}",,
dem,demSureGun,n,{n} gündür,"{n, plural, one{{n} день} few{{n} дня} many{{n} дней} other{{n} дней}}",,
dem,demSureSaat,n,{n} saattir,"{n, plural, one{{n} час} few{{n} часа} many{{n} часов} other{{n} часов}}",,
dem,demTaniniyor,,Demirbaş tanınıyor...,Опознание предмета...,,
dem,demUzerimdekiler,,Üzerimdekiler{ek},На мне{ek},,
dem,demUzerindeYok,,Şu an üzerinde demirbaş görünmüyor.,Сейчас за вами нет предметов.,,
dem,demZatenZimmetinde,,Zaten zimmetindeydi ✓ (tekrar gönderim — çift kayıt yok),Уже был за вами ✓ (повторная отправка — без дубликата),,
dem,demZimmetineAl,,Zimmetine al,Взять на себя,,
dem,demZimmetineAlindi,,Zimmetine alındı ✓,Взято ✓,,
dem,demZorlaDevralmaYok,,Zorla devralma yok — demirbaşı şu anki kullanıcısı bırakmalı.,Принудительная передача невозможна — предмет должен вернуть текущий владелец.,,
destek,destekBaslik,,Destek,Поддержка,,
destek,destekEkip,,Yönetio Ekibi,Команда Yönetio,,
destek,destekGonderilemedi,,Talep gönderilemedi: {hata},Не удалось отправить заявку: {hata},,
destek,destekGorselEkle,,Görsel ekle,Добавить изображение,,
destek,destekGorseliDegistir,,Görseli değiştir,Заменить изображение,,
destek,destekKonu,,Konu,Тема,,
destek,destekTalepYok,,Henüz destek talebiniz yok,У вас пока нет заявок в поддержку,,
destek,destekYeniTalep,,Yeni Talep,Новая заявка,,
destek,destekYeniTalepBaslik,,Yeni Destek Talebi,Новая заявка в поддержку,,
destek,destekYuklenemedi,,"Talepler yüklenemedi.
{hata}","Не удалось загрузить заявки.
{hata}",,
devriye,devriyeAdZorunlu,,Ad zorunludur,Название обязательно,,
devriye,devriyeAktifNoktaYok,,"Aktif kontrol noktası yok. Önce ""Kontrol noktaları""ndan ekleyin.",Активных контрольных точек нет. Сначала добавьте их в «Контрольные точки».,,
devriye,devriyeBaslangicSaat,,Başlangıç {saat},Начало {saat},,
devriye,devriyeBitisEtiket,,bitiş {saat},конец {saat},,
devriye,devriyeBitisSaat,,Bitiş {saat},Конец {saat},,
devriye,devriyeBugunPencereYok,,Bugün için planlanmış devriye penceresi yok.,На сегодня окно обхода не запланировано.,,
devriye,devriyeBugunTurYok,,Bugün için devriye turu yok.,На сегодня обходов нет.,,
devriye,devriyeBugununDigerTurlari,,Bugünün diğer turları,Другие обходы сегодня,,
devriye,devriyeBugununTurlari,,Bugünün turları,Обходы сегодня,,
devriye,devriyeDurumBekliyor,,Bekliyor,Ожидает,,
devriye,devriyeDurumBilinmiyor,,Bilinmiyor,Неизвестно,,
devriye,devriyeDurumBitti,,Bitti,Завершён,,
devriye,devriyeDurumKacirildi,,Kaçırıldı,Пропущен,,
devriye,devriyeDurumSimdiAktif,,Şimdi aktif,Активен сейчас,,
devriye,devriyeDurumSuresiGecti,,Süresi geçti,Время истекло,,
devriye,devriyeDurumTamamlandi,,Tamamlandı,Выполнен,,
devriye,devriyeDurumYaklasan,,Yaklaşan,Предстоящий,,
devriye,devriyeGecmisBos,,Henüz tur penceresi kaydı yok.,Записей окон обходов пока нет.,,
devriye,devriyeGecmisYetkiYok,,Tur geçmişi için yetkiniz yok. Bu liste güvenlik ve yönetici rollerine açıktır.,У вас нет прав на историю обходов. Этот список доступен ролям охраны и управляющего.,,
devriye,devriyeGonderimKuyruguTooltip,,Gönderim kuyruğu,Очередь отправки,,
devriye,devriyeGunOkutmaYok,,Bu gün için okutma yok.,За этот день сканирований нет.,,
devriye,devriyeImzali,,imzalı ✓,подписано ✓,,
devriye,devriyeKalanSure,,Kalan süre: {sure},Осталось: {sure},,
devriye,devriyeKaydedilemedi,,Kaydedilemedi. Tekrar deneyin.,Не удалось сохранить. Попробуйте снова.,,
devriye,devriyeKontrolNoktalari,,Kontrol noktaları,Контрольные точки,,
devriye,devriyeNoktaAdiYedek,,Nokta {kisaId},Точка {kisaId},,
devriye,devriyeNoktaDurumAciklama,,"Nokta durumları sunucudandır; tüm görevlilerin okutmaları ✓ görünür. ""Gönderiliyor"" satırlar bu cihazın henüz gönderilmemiş okutmalarıdır.","Статусы точек приходят с сервера; сканирования всех сотрудников отображаются как ✓. Строки «Отправляется» — сканирования этого устройства, ещё не отправленные.",,
devriye,devriyeNoktaListesiYok,,Bu planın nokta listesi alınamadı veya plana nokta atanmamış.,Не удалось получить список точек этого плана либо точки не назначены.,,
devriye,devriyeNoktaOkutNfc,,Nokta okut (NFC),Сканировать точку (NFC),,
